frame,id,x,y,width,height,vehicle_type
1,5,309.4,13.81,4.24,1.82,Car
2,5,307.84,13.81,4.24,1.82,Car
3,5,306.24,13.81,4.24,1.82,Car
4,5,304.59,13.81,4.24,1.82,Car
5,5,302.91,13.81,4.24,1.82,Car
6,5,301.24,13.8,4.24,1.82,Car
7,5,299.55,13.8,4.24,1.82,Car
8,5,297.86,13.8,4.24,1.82,Car
9,5,296.16,13.8,4.24,1.82,Car
10,5,294.46,13.8,4.24,1.82,Car
11,5,292.75,13.8,4.24,1.82,Car
12,5,291.04,13.8,4.24,1.82,Car
13,5,289.33,13.79,4.24,1.82,Car
14,5,287.62,13.79,4.24,1.82,Car
15,5,285.91,13.79,4.24,1.82,Car
16,5,284.2,13.79,4.24,1.82,Car
17,5,282.49,13.79,4.24,1.82,Car
18,5,280.78,13.79,4.24,1.82,Car
19,5,279.07,13.78,4.24,1.82,Car
20,5,277.35,13.78,4.24,1.82,Car
21,5,275.62,13.78,4.24,1.82,Car
22,5,273.9,13.78,4.24,1.82,Car
23,5,272.18,13.78,4.24,1.82,Car
24,5,270.46,13.78,4.24,1.82,Car
25,5,268.74,13.78,4.24,1.82,Car
26,5,267.02,13.77,4.24,1.82,Car
27,5,265.3,13.77,4.24,1.82,Car
28,5,263.58,13.77,4.24,1.82,Car
29,5,261.86,13.77,4.24,1.82,Car
30,5,260.14,13.77,4.24,1.82,Car
31,5,258.42,13.77,4.24,1.82,Car
32,5,256.7,13.77,4.24,1.82,Car
33,5,254.97,13.77,4.24,1.82,Car
34,5,253.25,13.76,4.24,1.82,Car
35,5,251.53,13.76,4.24,1.82,Car
36,5,249.8,13.76,4.24,1.82,Car
37,5,248.07,13.76,4.24,1.82,Car
38,5,246.33,13.76,4.24,1.82,Car
39,5,244.59,13.76,4.24,1.82,Car
40,5,242.87,13.76,4.24,1.82,Car
41,5,241.14,13.76,4.24,1.82,Car
42,5,239.42,13.76,4.24,1.82,Car
43,5,237.69,13.75,4.24,1.82,Car
44,5,235.96,13.75,4.24,1.82,Car
45,5,234.22,13.75,4.24,1.82,Car
46,5,232.49,13.75,4.24,1.82,Car
47,5,230.76,13.75,4.24,1.82,Car
48,5,229.03,13.75,4.24,1.82,Car
49,5,227.3,13.75,4.24,1.82,Car
50,5,225.57,13.75,4.24,1.82,Car
51,5,223.84,13.75,4.24,1.82,Car
52,5,222.11,13.75,4.24,1.82,Car
53,5,220.38,13.74,4.24,1.82,Car
54,5,218.64,13.74,4.24,1.82,Car
55,5,216.91,13.74,4.24,1.82,Car
56,5,215.17,13.74,4.24,1.82,Car
57,5,213.44,13.74,4.24,1.82,Car
58,5,211.71,13.74,4.24,1.82,Car
59,5,209.97,13.73,4.24,1.82,Car
60,5,208.23,13.73,4.24,1.82,Car
61,5,206.49,13.73,4.24,1.82,Car
62,5,204.76,13.73,4.24,1.82,Car
63,5,203.02,13.72,4.24,1.82,Car
64,5,201.29,13.72,4.24,1.82,Car
65,5,199.55,13.72,4.24,1.82,Car
66,5,197.82,13.72,4.24,1.82,Car
67,5,196.08,13.71,4.24,1.82,Car
68,5,194.35,13.71,4.24,1.82,Car
69,5,192.61,13.71,4.24,1.82,Car
70,5,190.87,13.7,4.24,1.82,Car
71,5,189.13,13.7,4.24,1.82,Car
72,5,187.39,13.69,4.24,1.82,Car
73,5,185.66,13.69,4.24,1.82,Car
74,5,183.92,13.69,4.24,1.82,Car
75,5,182.19,13.68,4.24,1.82,Car
76,5,180.45,13.68,4.24,1.82,Car
77,5,178.71,13.68,4.24,1.82,Car
78,5,176.98,13.67,4.24,1.82,Car
79,5,175.25,13.67,4.24,1.82,Car
80,5,173.51,13.67,4.24,1.82,Car
81,5,171.78,13.66,4.24,1.82,Car
82,5,170.05,13.66,4.24,1.82,Car
83,5,168.31,13.66,4.24,1.82,Car
84,5,166.57,13.66,4.24,1.82,Car
85,5,164.83,13.66,4.24,1.82,Car
86,5,163.09,13.66,4.24,1.82,Car
87,5,161.35,13.65,4.24,1.82,Car
88,5,159.62,13.65,4.24,1.82,Car
89,5,157.88,13.65,4.24,1.82,Car
90,5,156.14,13.65,4.24,1.82,Car
91,5,154.39,13.65,4.24,1.82,Car
92,5,152.64,13.65,4.24,1.82,Car
93,5,150.9,13.65,4.24,1.82,Car
94,5,149.18,13.65,4.24,1.82,Car
95,5,147.44,13.65,4.24,1.82,Car
96,5,145.71,13.65,4.24,1.82,Car
97,5,143.97,13.65,4.24,1.82,Car
98,5,142.24,13.65,4.24,1.82,Car
